redshift,stellar_mass,deVRad_r,deVAB_r,expRad_r,expAB_r,class,class_label
0.069145,10.010613,3.335374,0.108813,2.327959,0.104792,1,spiral
0.036578,9.297723,9.943622,0.193178,4.359452,0.212437,1,spiral
0.225195,11.470757,1.711605,0.988293,1.021107,0.981744,0,elliptical
0.076663,10.323964,3.088434,0.230615,1.971259,0.275326,1,spiral
0.035122,9.507027,7.802324,0.192434,3.441908,0.249997,1,spiral
0.163661,11.122869,1.678251,0.629914,1.066922,0.685216,0,elliptical
0.16734,11.179117,3.535871,0.347671,2.001711,0.385308,1,spiral
0.167879,11.028893,1.569264,0.698499,0.99109,0.715763,0,elliptical
0.168196,11.303794,5.821918,0.26983,2.696047,0.325363,1,spiral
0.081843,10.280823,5.117612,0.663464,2.477925,0.696321,1,spiral
0.169652,10.846422,5.137094,0.445714,2.605221,0.454531,1,spiral
0.142057,10.881324,1.772005,0.51752,1.193968,0.596101,1,spiral
0.04389,10.339201,7.380926,0.18737,4.550033,0.190046,1,spiral
0.033412,10.818821,3.981225,0.70906,2.991047,0.708896,0,elliptical
0.044975,10.108164,2.513375,0.505156,1.77178,0.521641,0,elliptical
0.069087,10.552232,9.889698,0.340685,4.447655,0.350154,1,spiral
0.09333,10.880912,2.505983,0.454373,1.658908,0.515831,1,spiral
0.09544,11.02191,12.644405,0.749998,5.257337,0.779256,1,spiral
0.141071,11.285674,0.858279,0.75863,0.627183,0.77408,0,elliptical
0.052761,10.469707,26.22312,0.743333,8.071144,0.746844,1,spiral
0.126605,10.967739,1.985979,0.598262,1.282108,0.579441,1,spiral
0.103765,10.903305,3.394444,0.651493,2.250537,0.621641,1,spiral
0.044171,9.619248,12.322213,0.620992,4.707887,0.655805,1,spiral
0.050029,10.079988,4.115824,0.157194,2.737309,0.153263,1,spiral
0.021126,8.983043,17.925833,0.256994,6.132862,0.290619,1,spiral
0.095632,10.511192,1.399889,0.309601,1.184287,0.361144,1,spiral
0.095358,10.603765,1.594401,0.793415,1.029495,0.777693,1,spiral
0.077741,10.146039,4.882268,0.57402,2.409446,0.622627,1,spiral
0.1111,11.256195,2.968722,0.937081,1.846946,0.90694,0,elliptical
0.096395,10.7986,7.941743,0.166382,4.069191,0.199607,1,spiral
0.094204,10.57667,1.589436,0.232756,1.291345,0.276623,1,spiral
